t  par1   acc
-2632 0.497292 0.189
-2631 0.49732 0.167
-2630 0.497409 0.167
-2629 0.49747 0.132
-2628 0.497495 0.162
-2627 0.497539 0.168
-2626 0.497575 0.173
-2625 0.497606 0.165
-2624 0.497603 0.15
-2623 0.497644 0.146
-2622 0.497669 0.154
-2621 0.497707 0.166
-2620 0.497796 0.16
-2619 0.497818 0.184
-2618 0.497939 0.142
-2617 0.497983 0.154
-2616 0.498021 0.164
-2615 0.49799 0.147
-2614 0.498006 0.187
-2613 0.498032 0.171
-2612 0.498125 0.166
-2611 0.498129 0.144
-2610 0.498079 0.203
-2609 0.498119 0.16
-2608 0.49817 0.165
-2607 0.498199 0.16
-2606 0.498195 0.179
-2605 0.498179 0.161
-2604 0.498202 0.169
-2603 0.498209 0.167
-2602 0.498225 0.172
-2601 0.498261 0.162
-2600 0.49832 0.155
-2599 0.498309 0.153
-2598 0.498314 0.16
-2597 0.498352 0.147
-2596 0.498365 0.168
-2595 0.498385 0.138
-2594 0.498461 0.154
-2593 0.498443 0.172
-2592 0.498446 0.17
-2591 0.498504 0.164
-2590 0.498511 0.17
-2589 0.498575 0.174
-2588 0.49866 0.172
-2587 0.498672 0.149
-2586 0.498735 0.172
-2585 0.498733 0.149
-2584 0.498737 0.152
-2583 0.4988 0.152
-2582 0.498904 0.158
-2581 0.49891 0.163
-2580 0.498946 0.149
-2579 0.499001 0.161
-2578 0.499044 0.158
-2577 0.499047 0.172
-2576 0.499072 0.146
-2575 0.499059 0.174
-2574 0.499135 0.158
-2573 0.499115 0.157
-2572 0.499105 0.145
-2571 0.499157 0.178
-2570 0.499153 0.165
-2569 0.499198 0.161
-2568 0.499219 0.159
-2567 0.499186 0.147
-2566 0.499221 0.162
-2565 0.499221 0.18
-2564 0.49926 0.185
-2563 0.499357 0.148
-2562 0.49934 0.142
-2561 0.499445 0.163
-2560 0.499506 0.155
-2559 0.499515 0.149
-2558 0.499539 0.176
-2557 0.499551 0.173
-2556 0.499557 0.163
-2555 0.499589 0.175
-2554 0.499593 0.142
-2553 0.499696 0.141
-2552 0.499778 0.147
-2551 0.499816 0.153
-2550 0.499836 0.17
-2549 0.499826 0.144
-2548 0.499894 0.179
-2547 0.499928 0.15
-2546 0.499948 0.154
-2545 0.499991 0.167
-2544 0.499974 0.18
-2543 0.500027 0.15
-2542 0.500047 0.157
-2541 0.500088 0.173
-2540 0.500088 0.168
-2539 0.50007 0.163
-2538 0.500125 0.157
-2537 0.500116 0.124
-2536 0.500149 0.136
-2535 0.500186 0.162
-2534 0.500148 0.155
-2533 0.500183 0.172
-2532 0.500194 0.173
-2531 0.500243 0.155
-2530 0.500265 0.147
-2529 0.500294 0.139
-2528 0.500352 0.161
-2527 0.500352 0.145
-2526 0.500346 0.181
-2525 0.500316 0.159
-2524 0.500359 0.153
-2523 0.500326 0.138
-2522 0.500368 0.144
-2521 0.500457 0.167
-2520 0.500483 0.152
-2519 0.500489 0.143
-2518 0.500529 0.162
-2517 0.500536 0.151
-2516 0.500612 0.152
-2515 0.500638 0.148
-2514 0.500697 0.174
-2513 0.500736 0.168
-2512 0.500807 0.171
-2511 0.500842 0.165
-2510 0.500869 0.141
-2509 0.500829 0.184
-2508 0.500822 0.165
-2507 0.500832 0.152
-2506 0.500865 0.157
-2505 0.500942 0.158
-2504 0.501045 0.17
-2503 0.501161 0.159
-2502 0.50124 0.153
-2501 0.501315 0.15
-2500 0.501309 0.172
-2499 0.501334 0.156
-2498 0.501394 0.17
-2497 0.501437 0.175
-2496 0.501434 0.133
-2495 0.501523 0.149
-2494 0.501512 0.175
-2493 0.501509 0.171
-2492 0.50153 0.158
-2491 0.501561 0.156
-2490 0.501549 0.156
-2489 0.501604 0.161
-2488 0.501604 0.173
-2487 0.501623 0.162
-2486 0.501738 0.158
-2485 0.501753 0.132
-2484 0.50185 0.161
-2483 0.501912 0.152
-2482 0.501915 0.141
-2481 0.50197 0.169
-2480 0.502025 0.16
-2479 0.50209 0.159
-2478 0.50209 0.153
-2477 0.502087 0.149
-2476 0.502126 0.16
-2475 0.502107 0.149
-2474 0.50215 0.16
-2473 0.502233 0.164
-2472 0.502253 0.155
-2471 0.502306 0.154
-2470 0.502322 0.145
-2469 0.502306 0.159
-2468 0.502312 0.186
-2467 0.50233 0.155
-2466 0.502357 0.176
-2465 0.502425 0.159
-2464 0.502431 0.162
-2463 0.502486 0.165
-2462 0.502529 0.162
-2461 0.502601 0.146
-2460 0.502668 0.155
-2459 0.502665 0.157
-2458 0.502655 0.154
-2457 0.502678 0.149
-2456 0.502736 0.165
-2455 0.502759 0.159
-2454 0.50279 0.171
-2453 0.502825 0.171
-2452 0.502801 0.159
-2451 0.502852 0.148
-2450 0.502849 0.136
-2449 0.502868 0.151
-2448 0.502862 0.179
-2447 0.502801 0.157
-2446 0.502829 0.158
-2445 0.50285 0.16
-2444 0.502808 0.157
-2443 0.502836 0.165
-2442 0.502926 0.167
-2441 0.50292 0.164
-2440 0.502907 0.164
-2439 0.502945 0.151
-2438 0.502948 0.169
-2437 0.502945 0.143
-2436 0.502915 0.16
-2435 0.503019 0.173
-2434 0.503016 0.151
-2433 0.503006 0.155
-2432 0.503021 0.163
-2431 0.503033 0.163
-2430 0.503099 0.165
-2429 0.503043 0.168
-2428 0.50309 0.194
-2427 0.503116 0.166
-2426 0.503145 0.139
-2425 0.503163 0.149
-2424 0.503186 0.158
-2423 0.503218 0.152
-2422 0.503178 0.178
-2421 0.503205 0.188
-2420 0.503169 0.162
-2419 0.503187 0.162
-2418 0.503167 0.165
-2417 0.503185 0.148
-2416 0.503185 0.175
-2415 0.503255 0.144
-2414 0.503275 0.149
-2413 0.503295 0.145
-2412 0.503306 0.165
-2411 0.503306 0.134
-2410 0.503398 0.167
-2409 0.50345 0.172
-2408 0.503471 0.149
-2407 0.503503 0.179
-2406 0.503493 0.163
-2405 0.503525 0.179
-2404 0.503532 0.159
-2403 0.503578 0.151
-2402 0.503553 0.143
-2401 0.503571 0.171
-2400 0.503654 0.155
-2399 0.503746 0.152
-2398 0.503753 0.155
-2397 0.503733 0.16
-2396 0.503783 0.161
-2395 0.503821 0.157
-2394 0.503839 0.159
-2393 0.503836 0.176
-2392 0.503866 0.164
-2391 0.503851 0.153
-2390 0.503808 0.169
-2389 0.503815 0.161
-2388 0.503851 0.149
-2387 0.50377 0.159
-2386 0.503759 0.16
-2385 0.503833 0.158
-2384 0.50387 0.155
-2383 0.503844 0.15
-2382 0.503841 0.138
-2381 0.503845 0.147
-2380 0.503793 0.185
-2379 0.503825 0.16
-2378 0.5038 0.163
-2377 0.503828 0.147
-2376 0.50378 0.165
-2375 0.503831 0.171
-2374 0.503853 0.164
-2373 0.503865 0.181
-2372 0.503887 0.143
-2371 0.503935 0.156
-2370 0.504012 0.18
-2369 0.504069 0.18
-2368 0.504073 0.165
-2367 0.504091 0.164
-2366 0.504125 0.156
-2365 0.504163 0.171
-2364 0.504171 0.164
-2363 0.504234 0.152
-2362 0.504215 0.156
-2361 0.504249 0.165
-2360 0.504295 0.178
-2359 0.504333 0.154
-2358 0.504412 0.156
-2357 0.504389 0.163
-2356 0.504472 0.154
-2355 0.504553 0.154
-2354 0.504521 0.165
-2353 0.504518 0.147
-2352 0.504581 0.156
-2351 0.504596 0.148
-2350 0.504728 0.15
-2349 0.504703 0.179
-2348 0.504734 0.151
-2347 0.504816 0.16
-2346 0.504845 0.161
-2345 0.504875 0.153
-2344 0.504907 0.149
-2343 0.504933 0.171
-2342 0.504915 0.151
-2341 0.504988 0.166
-2340 0.505004 0.172
-2339 0.505039 0.156
-2338 0.505035 0.159
-2337 0.50501 0.157
-2336 0.505033 0.142
-2335 0.504982 0.151
-2334 0.505041 0.17
-2333 0.505057 0.149
-2332 0.505092 0.147
-2331 0.505116 0.163
-2330 0.505096 0.179
-2329 0.505184 0.183
-2328 0.505207 0.182
-2327 0.505176 0.161
-2326 0.505244 0.149
-2325 0.505322 0.172
-2324 0.505348 0.157
-2323 0.505342 0.153
-2322 0.505422 0.139
-2321 0.505406 0.151
-2320 0.505409 0.155
-2319 0.505412 0.163
-2318 0.505471 0.152
-2317 0.505528 0.161
-2316 0.505581 0.169
-2315 0.505653 0.171
-2314 0.505637 0.157
-2313 0.505642 0.148
-2312 0.505665 0.172
-2311 0.505648 0.162
-2310 0.505597 0.181
-2309 0.505584 0.166
-2308 0.505571 0.147
-2307 0.505647 0.172
-2306 0.50565 0.172
-2305 0.505668 0.157
-2304 0.505694 0.163
-2303 0.505711 0.149
-2302 0.505708 0.139
-2301 0.505722 0.174
-2300 0.505749 0.173
-2299 0.50577 0.151
-2298 0.505784 0.17
-2297 0.505841 0.157
-2296 0.505848 0.156
-2295 0.505922 0.145
-2294 0.505957 0.161
-2293 0.506011 0.174
-2292 0.50606 0.147
-2291 0.506004 0.167
-2290 0.506042 0.17
-2289 0.505997 0.16
-2288 0.506027 0.15
-2287 0.506078 0.165
-2286 0.50606 0.147
-2285 0.506156 0.171
-2284 0.506177 0.157
-2283 0.506205 0.162
-2282 0.506181 0.167
-2281 0.50622 0.166
-2280 0.506279 0.153
-2279 0.506276 0.14
-2278 0.506285 0.155
-2277 0.506339 0.159
-2276 0.506349 0.164
-2275 0.506349 0.153
-2274 0.506442 0.148
-2273 0.506467 0.134
-2272 0.506519 0.163
-2271 0.506525 0.158
-2270 0.506504 0.149
-2269 0.506497 0.159
-2268 0.506542 0.16
-2267 0.506556 0.161
-2266 0.50663 0.163
-2265 0.506626 0.165
-2264 0.506629 0.149
-2263 0.506702 0.186
-2262 0.506723 0.137
-2261 0.506731 0.152
-2260 0.506713 0.173
-2259 0.506716 0.145
-2258 0.506767 0.147
-2257 0.506823 0.158
-2256 0.506851 0.145
-2255 0.506807 0.165
-2254 0.506849 0.16
-2253 0.506892 0.142
-2252 0.506998 0.159
-2251 0.507014 0.147
-2250 0.507014 0.147
-2249 0.507002 0.148
-2248 0.506992 0.144
-2247 0.507058 0.184
-2246 0.507122 0.169
-2245 0.507135 0.157
-2244 0.507118 0.157
-2243 0.507089 0.162
-2242 0.507083 0.158
-2241 0.507111 0.156
-2240 0.507152 0.15
-2239 0.507176 0.166
-2238 0.507192 0.133
-2237 0.507284 0.159
-2236 0.507303 0.16
-2235 0.507313 0.162
-2234 0.507345 0.149
-2233 0.507382 0.159
-2232 0.507409 0.159
-2231 0.507351 0.165
-2230 0.507342 0.131
-2229 0.507378 0.156
-2228 0.507338 0.152
-2227 0.507345 0.147
-2226 0.507296 0.169
-2225 0.507308 0.151
-2224 0.507358 0.16
-2223 0.507374 0.15
-2222 0.507387 0.166
-2221 0.507409 0.151
-2220 0.507403 0.156
-2219 0.507371 0.166
-2218 0.507394 0.166
-2217 0.50737 0.155
-2216 0.507396 0.174
-2215 0.507438 0.158
-2214 0.507459 0.165
-2213 0.507449 0.189
-2212 0.507463 0.149
-2211 0.50747 0.132
-2210 0.507463 0.16
-2209 0.50742 0.162
-2208 0.507499 0.153
-2207 0.507522 0.152
-2206 0.507512 0.156
-2205 0.507554 0.153
-2204 0.507567 0.148
-2203 0.507547 0.142
-2202 0.507639 0.161
-2201 0.507612 0.17
-2200 0.507675 0.171
-2199 0.507633 0.145
-2198 0.50762 0.154
-2197 0.507671 0.168
-2196 0.50773 0.161
-2195 0.507798 0.174
-2194 0.507767 0.169
-2193 0.507732 0.162
-2192 0.507763 0.155
-2191 0.507767 0.134
-2190 0.507773 0.152
-2189 0.50779 0.154
-2188 0.507914 0.158
-2187 0.507981 0.156
-2186 0.508012 0.169
-2185 0.508043 0.156
-2184 0.508136 0.175
-2183 0.508198 0.149
-2182 0.508218 0.161
-2181 0.508229 0.152
-2180 0.508229 0.169
-2179 0.508224 0.175
-2178 0.508281 0.158
-2177 0.508246 0.163
-2176 0.508266 0.161
-2175 0.508283 0.163
-2174 0.508293 0.136
-2173 0.50829 0.151
-2172 0.508342 0.171
-2171 0.508352 0.166
-2170 0.508332 0.163
-2169 0.508369 0.165
-2168 0.508353 0.166
-2167 0.508396 0.172
-2166 0.508376 0.161
-2165 0.508327 0.157
-2164 0.508306 0.153
-2163 0.508296 0.154
-2162 0.508326 0.164
-2161 0.508329 0.194
-2160 0.508367 0.149
-2159 0.508378 0.156
-2158 0.508398 0.144
-2157 0.508382 0.178
-2156 0.508399 0.13
-2155 0.508357 0.155
-2154 0.50836 0.167
-2153 0.508325 0.147
-2152 0.508355 0.172
-2151 0.508352 0.172
-2150 0.508383 0.147
-2149 0.508354 0.149
-2148 0.508371 0.156
-2147 0.508399 0.143
-2146 0.508378 0.143
-2145 0.508412 0.147
-2144 0.508407 0.163
-2143 0.508431 0.175
-2142 0.508451 0.152
-2141 0.5084 0.138
-2140 0.508393 0.144
-2139 0.50839 0.168
-2138 0.508444 0.165
-2137 0.508414 0.145
-2136 0.508437 0.16
-2135 0.508459 0.161
-2134 0.508533 0.155
-2133 0.508536 0.156
-2132 0.508508 0.16
-2131 0.508524 0.159
-2130 0.508547 0.169
-2129 0.508543 0.145
-2128 0.508586 0.149
-2127 0.508583 0.173
-2126 0.508662 0.16
-2125 0.508638 0.167
-2124 0.508623 0.159
-2123 0.508657 0.171
-2122 0.508711 0.15
-2121 0.508734 0.157
-2120 0.508784 0.158
-2119 0.508868 0.148
-2118 0.508894 0.168
-2117 0.508879 0.166
-2116 0.508902 0.147
-2115 0.508956 0.148
-2114 0.508926 0.167
-2113 0.508951 0.159
-2112 0.508958 0.168
-2111 0.508991 0.166
-2110 0.508998 0.155
-2109 0.508964 0.169
-2108 0.509015 0.168
-2107 0.508993 0.145
-2106 0.509029 0.169
-2105 0.509036 0.159
-2104 0.509054 0.172
-2103 0.509093 0.157
-2102 0.509072 0.157
-2101 0.509011 0.155
-2100 0.509011 0.173
-2099 0.509011 0.144
-2098 0.508992 0.178
-2097 0.509058 0.144
-2096 0.509061 0.146
-2095 0.509087 0.156
-2094 0.509069 0.181
-2093 0.509095 0.153
-2092 0.509145 0.155
-2091 0.509203 0.157
-2090 0.509193 0.154
-2089 0.509158 0.186
-2088 0.509163 0.161
-2087 0.509137 0.151
-2086 0.509131 0.156
-2085 0.509185 0.154
-2084 0.509254 0.147
-2083 0.50927 0.158
-2082 0.509264 0.158
-2081 0.509302 0.162
-2080 0.509324 0.161
-2079 0.509333 0.18
-2078 0.509302 0.15
-2077 0.509309 0.167
-2076 0.50928 0.153
-2075 0.509246 0.16
-2074 0.50922 0.157
-2073 0.509248 0.151
-2072 0.509241 0.17
-2071 0.509347 0.165
-2070 0.509332 0.147
-2069 0.509304 0.175
-2068 0.509304 0.156
-2067 0.509281 0.16
-2066 0.5093 0.141
-2065 0.509306 0.169
-2064 0.509346 0.171
-2063 0.509394 0.162
-2062 0.509477 0.15
-2061 0.50953 0.156
-2060 0.509539 0.164
-2059 0.509536 0.173
-2058 0.509586 0.169
-2057 0.509583 0.173
-2056 0.509653 0.169
-2055 0.509625 0.165
-2054 0.509656 0.152
-2053 0.509646 0.152
-2052 0.509617 0.158
-2051 0.509685 0.147
-2050 0.509715 0.143
-2049 0.509755 0.146
-2048 0.509764 0.158
-2047 0.509787 0.169
-2046 0.509778 0.151
-2045 0.509793 0.174
-2044 0.50981 0.157
-2043 0.509823 0.147
-2042 0.509809 0.158
-2041 0.509817 0.169
-2040 0.509852 0.142
-2039 0.509836 0.143
-2038 0.509864 0.167
-2037 0.509861 0.133
-2036 0.509839 0.153
-2035 0.509768 0.159
-2034 0.509778 0.154
-2033 0.509835 0.179
-2032 0.509835 0.155
-2031 0.509891 0.141
-2030 0.509929 0.143
-2029 0.509917 0.152
-2028 0.509938 0.144
-2027 0.509947 0.163
-2026 0.509934 0.167
-2025 0.509921 0.158
-2024 0.509945 0.162
-2023 0.509948 0.156
-2022 0.509997 0.161
-2021 0.51008 0.163
-2020 0.510096 0.144
-2019 0.510106 0.165
-2018 0.51018 0.16
-2017 0.510138 0.152
-2016 0.510122 0.153
-2015 0.510159 0.155
-2014 0.510217 0.178
-2013 0.510201 0.16
-2012 0.510218 0.157
-2011 0.510278 0.148
-2010 0.510307 0.164
-2009 0.510326 0.16
-2008 0.510405 0.159
-2007 0.510402 0.157
-2006 0.510354 0.166
-2005 0.510341 0.158
-2004 0.51033 0.139
-2003 0.510326 0.165
-2002 0.51034 0.153
-2001 0.510346 0.134
-2000 0.510343 0.153
-1999 0.510349 0.177
-1998 0.510366 0.131
-1997 0.51041 0.151
-1996 0.510474 0.15
-1995 0.510522 0.152
-1994 0.510556 0.146
-1993 0.510612 0.135
-1992 0.510649 0.146
-1991 0.510585 0.16
-1990 0.510585 0.144
-1989 0.510644 0.15
-1988 0.510674 0.145
-1987 0.510697 0.168
-1986 0.510663 0.139
-1985 0.510608 0.172
-1984 0.510581 0.162
-1983 0.51064 0.142
-1982 0.510653 0.153
-1981 0.510693 0.16
-1980 0.510746 0.163
-1979 0.51072 0.147
-1978 0.510801 0.164
-1977 0.510768 0.157
-1976 0.510813 0.161
-1975 0.510834 0.169
-1974 0.510823 0.152
-1973 0.510884 0.154
-1972 0.51091 0.155
-1971 0.510809 0.148
-1970 0.510856 0.164
-1969 0.510878 0.172
-1968 0.510887 0.16
-1967 0.510896 0.159
-1966 0.510947 0.157
-1965 0.510979 0.164
-1964 0.510966 0.151
-1963 0.511028 0.155
-1962 0.511015 0.145
-1961 0.510992 0.159
-1960 0.510948 0.165
-1959 0.510929 0.145
-1958 0.510922 0.146
-1957 0.510949 0.15
-1956 0.510976 0.156
-1955 0.510962 0.177
-1954 0.510931 0.168
-1953 0.510914 0.156
-1952 0.510986 0.15
-1951 0.51102 0.154
-1950 0.51102 0.158
-1949 0.511045 0.149
-1948 0.511094 0.151
-1947 0.51115 0.179
-1946 0.511194 0.17
-1945 0.511198 0.159
-1944 0.511225 0.147
-1943 0.51119 0.146
-1942 0.511259 0.162
-1941 0.511215 0.176
-1940 0.511253 0.164
-1939 0.511265 0.14
-1938 0.511304 0.149
-1937 0.511318 0.148
-1936 0.511334 0.146
-1935 0.511324 0.148
-1934 0.511334 0.166
-1933 0.511357 0.163
-1932 0.511418 0.15
-1931 0.511445 0.168
-1930 0.511487 0.159
-1929 0.51148 0.17
-1928 0.511529 0.169
-1927 0.511555 0.155
-1926 0.51159 0.151
-1925 0.511554 0.141
-1924 0.511606 0.178
-1923 0.511602 0.176
-1922 0.511551 0.17
-1921 0.511608 0.159
-1920 0.511632 0.171
-1919 0.511557 0.159
-1918 0.511547 0.164
-1917 0.51154 0.147
-1916 0.511587 0.168
-1915 0.511621 0.149
-1914 0.511654 0.16
-1913 0.511698 0.15
-1912 0.511733 0.158
-1911 0.511813 0.173
-1910 0.511824 0.156
-1909 0.511837 0.164
-1908 0.51184 0.154
-1907 0.511804 0.166
-1906 0.5118 0.145
-1905 0.511756 0.169
-1904 0.511727 0.153
-1903 0.511778 0.153
-1902 0.511781 0.155
-1901 0.511771 0.163
-1900 0.511812 0.162
-1899 0.51183 0.143
-1898 0.511841 0.167
-1897 0.511777 0.142
-1896 0.511811 0.138
-1895 0.511797 0.174
-1894 0.511839 0.149
-1893 0.511868 0.163
-1892 0.511855 0.169
-1891 0.511842 0.162
-1890 0.511803 0.141
-1889 0.511895 0.144
-1888 0.511865 0.142
-1887 0.511855 0.145
-1886 0.511862 0.14
-1885 0.511849 0.152
-1884 0.511904 0.149
-1883 0.511938 0.173
-1882 0.511967 0.131
-1881 0.51199 0.177
-1880 0.512014 0.148
-1879 0.512018 0.159
-1878 0.51198 0.17
-1877 0.512001 0.178
-1876 0.511991 0.148
-1875 0.512014 0.153
-1874 0.512069 0.164
-1873 0.512095 0.16
-1872 0.512159 0.156
-1871 0.512152 0.149
-1870 0.512205 0.147
-1869 0.512324 0.156
-1868 0.512361 0.162
-1867 0.512427 0.165
-1866 0.512473 0.144
-1865 0.512509 0.148
-1864 0.512584 0.172
-1863 0.512624 0.144
-1862 0.512633 0.158
-1861 0.5126 0.163
-1860 0.51258 0.154
-1859 0.512617 0.15
-1858 0.512596 0.172
-1857 0.512649 0.151
-1856 0.512707 0.176
-1855 0.512753 0.151
-1854 0.512727 0.161
-1853 0.512754 0.158
-1852 0.512727 0.152
-1851 0.512795 0.139
-1850 0.512802 0.146
-1849 0.512852 0.17
-1848 0.512784 0.16
-1847 0.512771 0.165
-1846 0.512761 0.159
-1845 0.512762 0.16
-1844 0.512812 0.173
-1843 0.512855 0.171
-1842 0.512847 0.144
-1841 0.512841 0.167
-1840 0.512878 0.144
-1839 0.512871 0.167
-1838 0.512889 0.186
-1837 0.512955 0.152
-1836 0.512962 0.14
-1835 0.512953 0.149
-1834 0.51297 0.145
-1833 0.513012 0.156
-1832 0.513022 0.156
-1831 0.513014 0.147
-1830 0.513034 0.157
-1829 0.51302 0.137
-1828 0.513037 0.165
-1827 0.513128 0.143
-1826 0.513124 0.136
-1825 0.513085 0.167
-1824 0.513082 0.156
-1823 0.513095 0.157
-1822 0.513135 0.171
-1821 0.513182 0.17
-1820 0.513182 0.17
-1819 0.513207 0.147
-1818 0.513221 0.151
-1817 0.513259 0.158
-1816 0.513251 0.16
-1815 0.513261 0.161
-1814 0.51325 0.169
-1813 0.513254 0.18
-1812 0.513312 0.168
-1811 0.513272 0.163
-1810 0.513337 0.16
-1809 0.513387 0.15
-1808 0.513398 0.153
-1807 0.513435 0.169
-1806 0.513357 0.17
-1805 0.513386 0.157
-1804 0.513379 0.168
-1803 0.513406 0.16
-1802 0.513429 0.147
-1801 0.513413 0.149
-1800 0.51339 0.164
-1799 0.513372 0.156
-1798 0.513328 0.15
-1797 0.51337 0.133
-1796 0.513403 0.14
-1795 0.51343 0.146
-1794 0.513456 0.17
-1793 0.513435 0.178
-1792 0.513419 0.142
-1791 0.513412 0.171
-1790 0.513462 0.179
-1789 0.513445 0.171
-1788 0.513441 0.139
-1787 0.513449 0.155
-1786 0.513445 0.145
-1785 0.513494 0.166
-1784 0.513582 0.142
-1783 0.513648 0.172
-1782 0.513705 0.165
-1781 0.513727 0.178
-1780 0.513759 0.147
-1779 0.513808 0.164
-1778 0.513802 0.171
-1777 0.513799 0.163
-1776 0.513802 0.157
-1775 0.513847 0.155
-1774 0.513868 0.171
-1773 0.513868 0.152
-1772 0.513868 0.155
-1771 0.513947 0.148
-1770 0.513953 0.128
-1769 0.513947 0.131
-1768 0.513928 0.157
-1767 0.51395 0.181
-1766 0.513971 0.164
-1765 0.513931 0.156
-1764 0.513928 0.167
-1763 0.513969 0.161
-1762 0.513989 0.17
-1761 0.514028 0.161
-1760 0.514003 0.172
-1759 0.514014 0.175
-1758 0.514014 0.162
-1757 0.514041 0.158
-1756 0.514084 0.152
-1755 0.514178 0.157
-1754 0.514164 0.164
-1753 0.514158 0.151
-1752 0.514151 0.166
-1751 0.514147 0.175
-1750 0.514151 0.142
-1749 0.514151 0.153
-1748 0.514127 0.153
-1747 0.514168 0.159
-1746 0.514104 0.163
-1745 0.514073 0.142
-1744 0.514056 0.162
-1743 0.514118 0.181
-1742 0.514129 0.15
-1741 0.514165 0.19
-1740 0.514191 0.157
-1739 0.514231 0.165
-1738 0.514265 0.159
-1737 0.514302 0.147
-1736 0.514289 0.162
-1735 0.514323 0.164
-1734 0.51433 0.162
-1733 0.514358 0.148
-1732 0.514342 0.146
-1731 0.514418 0.156
-1730 0.514366 0.145
-1729 0.51434 0.142
-1728 0.514366 0.13
-1727 0.514385 0.163
-1726 0.514398 0.173
-1725 0.514369 0.176
-1724 0.514391 0.15
-1723 0.514402 0.157
-1722 0.514449 0.154
-1721 0.514449 0.149
-1720 0.51449 0.153
-1719 0.514471 0.159
-1718 0.514523 0.158
-1717 0.514533 0.154
-1716 0.514527 0.149
-1715 0.514523 0.166
-1714 0.514534 0.181
-1713 0.514626 0.164
-1712 0.514672 0.145
-1711 0.514597 0.148
-1710 0.514575 0.18
-1709 0.514594 0.159
-1708 0.514597 0.144
-1707 0.514703 0.161
-1706 0.514685 0.141
-1705 0.514766 0.148
-1704 0.514786 0.172
-1703 0.514731 0.155
-1702 0.514762 0.168
-1701 0.514791 0.151
-1700 0.51483 0.156
-1699 0.514826 0.139
-1698 0.51483 0.153
-1697 0.514917 0.155
-1696 0.51492 0.144
-1695 0.514926 0.16
-1694 0.515024 0.169
-1693 0.515064 0.154
-1692 0.515114 0.141
-1691 0.515084 0.164
-1690 0.515068 0.177
-1689 0.515097 0.156
-1688 0.515123 0.167
-1687 0.515145 0.168
-1686 0.515131 0.154
-1685 0.515128 0.159
-1684 0.515107 0.188
-1683 0.515139 0.179
-1682 0.515101 0.182
-1681 0.515111 0.151
-1680 0.515101 0.159
-1679 0.515101 0.15
-1678 0.515084 0.18
-1677 0.515091 0.17
-1676 0.515096 0.16
-1675 0.515136 0.156
-1674 0.515082 0.158
-1673 0.515099 0.139
-1672 0.515096 0.154
-1671 0.51512 0.15
-1670 0.51514 0.18
-1669 0.5151 0.153
-1668 0.515112 0.162
-1667 0.515133 0.153
-1666 0.515172 0.135
-1665 0.515156 0.155
-1664 0.515198 0.158
-1663 0.515267 0.12
-1662 0.515316 0.145
-1661 0.515322 0.149
-1660 0.515326 0.186
-1659 0.515318 0.138
-1658 0.515354 0.165
-1657 0.515385 0.175
-1656 0.515409 0.153
-1655 0.515433 0.15
-1654 0.515454 0.161
-1653 0.515447 0.15
-1652 0.515437 0.149
-1651 0.515466 0.157
-1650 0.515434 0.145
-1649 0.515441 0.173
-1648 0.515421 0.162
-1647 0.515467 0.185
-1646 0.515407 0.161
-1645 0.515423 0.157
-1644 0.515477 0.156
-1643 0.515493 0.166
-1642 0.515509 0.149
-1641 0.515532 0.16
-1640 0.515561 0.169
-1639 0.515481 0.147
-1638 0.515506 0.167
-1637 0.515459 0.14
-1636 0.515472 0.155
-1635 0.515459 0.166
-1634 0.515503 0.161
-1633 0.515503 0.173
-1632 0.515487 0.159
-1631 0.515517 0.178
-1630 0.515533 0.154
-1629 0.515596 0.148
-1628 0.51558 0.166
-1627 0.515554 0.156
-1626 0.515581 0.143
-1625 0.515584 0.163
-1624 0.515611 0.134
-1623 0.515707 0.144
-1622 0.515728 0.153
-1621 0.515757 0.163
-1620 0.515702 0.159
-1619 0.515659 0.147
-1618 0.515721 0.153
-1617 0.51567 0.169
-1616 0.515643 0.164
-1615 0.515712 0.166
-1614 0.51574 0.159
-1613 0.515747 0.151
-1612 0.515744 0.167
-1611 0.515711 0.155
-1610 0.515668 0.165
-1609 0.515705 0.148
-1608 0.515762 0.165
-1607 0.515807 0.15
-1606 0.515862 0.184
-1605 0.515816 0.148
-1604 0.515858 0.163
-1603 0.515876 0.152
-1602 0.515898 0.159
-1601 0.515919 0.156
-1600 0.515922 0.159
-1599 0.515947 0.159
-1598 0.515898 0.153
-1597 0.515891 0.123
-1596 0.515876 0.172
-1595 0.515829 0.139
-1594 0.515857 0.161
-1593 0.515904 0.155
-1592 0.515968 0.141
-1591 0.515981 0.163
-1590 0.515968 0.155
-1589 0.515999 0.149
-1588 0.515993 0.135
-1587 0.516026 0.178
-1586 0.516087 0.154
-1585 0.516113 0.156
-1584 0.516087 0.154
-1583 0.516134 0.165
-1582 0.516176 0.151
-1581 0.516192 0.162
-1580 0.516197 0.152
-1579 0.51616 0.154
-1578 0.516205 0.145
-1577 0.51627 0.144
-1576 0.516257 0.163
-1575 0.516211 0.166
-1574 0.516205 0.149
-1573 0.516208 0.155
-1572 0.516217 0.18
-1571 0.516253 0.172
-1570 0.51622 0.145
-1569 0.516313 0.146
-1568 0.51621 0.168
-1567 0.516232 0.149
-1566 0.516232 0.138
-1565 0.516253 0.156
-1564 0.516278 0.179
-1563 0.516251 0.15
-1562 0.516218 0.157
-1561 0.516288 0.147
-1560 0.516306 0.158
-1559 0.516375 0.152
-1558 0.516338 0.163
-1557 0.516321 0.173
