t  par1  
46600 -320 
46700 440 
46800 582 
46900 1038 
47000 1158 
47100 -128 
47200 -754 
47300 -1210 
47400 -856 
47500 -458 
47600 1020 
47700 882 
47800 1174 
47900 1060 
48000 140 
48100 -994 
48200 -1552 
48300 -986 
48400 -356 
48500 84 
48600 494 
48700 -10 
48800 324 
48900 0 
49000 -798 
49100 56 
49200 1542 
49300 2230 
49400 1400 
49500 86 
49600 -1526 
49700 -3094 
49800 -3086 
49900 -3130 
50000 -1504 
50100 -708 
50200 1768 
50300 3170 
50400 3104 
50500 2652 
50600 1922 
50700 1304 
50800 1084 
50900 -216 
51000 -414 
51100 -1332 
51200 -1290 
51300 -858 
51400 224 
51500 948 
51600 1840 
51700 1072 
51800 40 
51900 452 
52000 -270 
52100 -1140 
52200 -670 
52300 -388 
52400 -374 
52500 232 
52600 954 
52700 392 
52800 570 
52900 1080 
53000 -166 
53100 -1702 
53200 -1938 
53300 -1184 
53400 648 
53500 1268 
53600 1818 
53700 1296 
53800 218 
53900 -960 
54000 -758 
54100 -928 
54200 -1112 
54300 -420 
54400 -570 
54500 -88 
54600 392 
54700 224 
54800 364 
54900 -28 
55000 -2 
55100 -308 
55200 1050 
55300 136 
55400 -238 
55500 -648 
55600 2146 
55700 1996 
55800 448 
55900 -478 
56000 -1612 
56100 -2134 
56200 -2368 
56300 -1332 
56400 -1268 
56500 -882 
56600 950 
56700 580 
56800 1116 
56900 -36 
57000 438 
57100 -306 
57200 -614 
57300 -984 
57400 378 
57500 1448 
57600 1136 
57700 1088 
57800 288 
57900 -482 
58000 -1048 
58100 -334 
58200 208 
58300 1570 
58400 1762 
58500 546 
58600 -348 
58700 -1970 
58800 -1662 
58900 -678 
59000 532 
59100 1530 
59200 1498 
59300 1502 
59400 108 
59500 -330 
59600 -522 
59700 -890 
59800 -1048 
59900 296 
60000 62 
60100 714 
60200 578 
60300 -48 
60400 14 
60500 -1094 
60600 -654 
60700 -190 
60800 596 
60900 438 
61000 536 
61100 234 
61200 -560 
61300 -542 
61400 594 
61500 836 
61600 380 
61700 392 
61800 -818 
61900 -1294 
62000 280 
62100 1630 
62200 1294 
62300 562 
62400 48 
62500 -1568 
62600 -1338 
62700 1398 
62800 2444 
62900 2390 
63000 814 
63100 -710 
63200 -2248 
63300 -1746 
63400 -474 
63500 -472 
63600 -500 
63700 456 
63800 536 
63900 224 
64000 -516 
64100 -1050 
64200 -264 
64300 490 
64400 34 
64500 -386 
64600 738 
64700 550 
64800 -732 
64900 -972 
65000 -6 
65100 638 
65200 630 
65300 254 
65400 348 
65500 -334 
65600 -532 
65700 978 
65800 566 
65900 -574 
66000 -318 
66100 1046 
66200 1030 
66300 96 
66400 -1758 
66500 -2612 
66600 -3260 
66700 -2394 
66800 -168 
66900 566 
67000 1328 
67100 1942 
67200 984 
67300 -190 
67400 -1520 
67500 -1224 
67600 -490 
67700 318 
67800 882 
67900 358 
68000 -552 
68100 -480 
68200 -614 
68300 268 
68400 876 
68500 498 
68600 302 
68700 -510 
68800 80 
68900 962 
69000 1282 
69100 158 
69200 -648 
69300 -1964 
69400 -1108 
69500 -684 
69600 634 
69700 1358 
69800 874 
69900 -792 
70000 -1616 
70100 -1294 
70200 -1810 
70300 -516 
70400 666 
70500 2216 
70600 506 
70700 44 
70800 -1688 
70900 -1464 
71000 -988 
71100 -394 
71200 518 
71300 1030 
71400 1082 
71500 130 
71600 -1230 
71700 -1048 
71800 -1598 
71900 -1082 
72000 -424 
72100 972 
72200 1908 
72300 624 
72400 -1432 
72500 -2452 
72600 -3114 
72700 -1392 
72800 -954 
72900 -416 
73000 186 
73100 580 
73200 798 
73300 -148 
73400 -676 
73500 -394 
73600 -270 
73700 -656 
73800 1296 
73900 870 
74000 1290 
74100 -614 
74200 -1224 
74300 -1250 
74400 -378 
74500 516 
74600 780 
74700 626 
74800 1166 
74900 1282 
75000 82 
75100 -1094 
75200 -1818 
75300 -1460 
75400 -962 
75500 -542 
75600 -166 
75700 436 
75800 996 
75900 988 
76000 204 
76100 -674 
76200 -1392 
76300 -1846 
76400 -1108 
76500 754 
76600 1424 
76700 1380 
76800 1098 
76900 1546 
77000 982 
77100 408 
77200 142 
77300 -1260 
77400 -1190 
77500 522 
77600 838 
77700 1000 
77800 490 
77900 -424 
78000 -1346 
78100 970 
78200 1896 
78300 1892 
78400 942 
78500 -410 
78600 -1266 
78700 -1032 
78800 -1268 
78900 -632 
79000 -1320 
79100 -1406 
79200 -732 
79300 228 
79400 948 
79500 1146 
79600 414 
79700 -1492 
79800 -1126 
79900 -880 
80000 -882 
80100 870 
80200 2138 
80300 744 
80400 24 
80500 -1190 
80600 -1640 
80700 -1432 
80800 124 
80900 1024 
81000 1958 
81100 778 
81200 818 
81300 38 
81400 -1042 
81500 -1072 
81600 556 
81700 748 
81800 1284 
81900 982 
82000 490 
82100 -32 
82200 -1120 
82300 -1766 
82400 -1082 
82500 330 
82600 1214 
82700 1888 
82800 1150 
82900 292 
83000 -128 
83100 -1806 
83200 -672 
83300 -460 
83400 822 
83500 1248 
83600 796 
83700 574 
83800 -144 
83900 -834 
84000 114 
84100 -336 
84200 514 
84300 106 
84400 -652 
84500 -1270 
84600 -454 
84700 636 
84800 1056 
84900 1192 
85000 748 
85100 -876 
85200 -1724 
85300 -888 
85400 150 
85500 1238 
85600 1178 
85700 1684 
85800 1426 
85900 408 
86000 -1534 
86100 -1724 
86200 -1352 
86300 -1196 
86400 608 
86500 686 
86600 784 
86700 1310 
86800 290 
86900 316 
87000 -540 
87100 -858 
87200 1262 
87300 2362 
87400 1782 
87500 220 
87600 -1188 
87700 -906 
87800 -2106 
87900 -1328 
88000 -1390 
88100 -806 
88200 -908 
88300 692 
88400 1102 
88500 1166 
88600 360 
88700 678 
88800 -64 
88900 -572 
89000 -818 
89100 -700 
89200 254 
89300 1988 
89400 1612 
89500 -504 
89600 -1854 
89700 -3664 
89800 -3166 
89900 -2058 
90000 -1294 
90100 -304 
90200 1270 
90300 1854 
90400 616 
90500 -440 
90600 -1430 
90700 -496 
90800 508 
90900 458 
91000 1730 
91100 286 
91200 -554 
91300 -1440 
91400 -652 
91500 -338 
91600 -20 
91700 -134 
91800 -498 
91900 432 
92000 108 
92100 -540 
92200 -70 
92300 292 
92400 -30 
92500 682 
92600 232 
92700 728 
92800 976 
92900 -390 
93000 -1814 
93100 -846 
93200 -626 
93300 -156 
93400 -142 
93500 1330 
93600 436 
93700 -988 
93800 -1112 
93900 -394 
94000 542 
94100 208 
94200 468 
94300 1250 
94400 446 
94500 -1004 
94600 -1994 
94700 -974 
94800 -904 
94900 -530 
95000 568 
95100 1130 
95200 -202 
95300 -1154 
95400 -1170 
95500 -932 
95600 -590 
95700 -260 
95800 832 
95900 822 
96000 1712 
96100 10 
96200 -1222 
96300 -102 
96400 100 
96500 -468 
96600 -284 
96700 318 
96800 -390 
96900 -70 
97000 -588 
97100 90 
97200 8 
97300 456 
97400 -40 
97500 156 
97600 -224 
97700 -1024 
97800 -110 
97900 668 
98000 284 
98100 742 
98200 1310 
98300 1148 
98400 -752 
98500 -1722 
98600 -1792 
98700 -724 
98800 -390 
98900 1648 
99000 826 
99100 -1004 
99200 -1446 
99300 -100 
99400 8 
99500 -406 
99600 46 
99700 -634 
99800 234 
99900 802 
100000 -86 
100100 -848 
100200 -1214 
100300 -540 
100400 372 
100500 970 
100600 776 
100700 500 
100800 -1090 
100900 -1210 
101000 18 
101100 644 
101200 318 
101300 -172 
101400 322 
101500 -122 
101600 -68 
101700 172 
101800 226 
101900 156 
102000 -558 
102100 -56 
102200 948 
102300 -32 
102400 -656 
102500 -670 
102600 1122 
102700 2690 
102800 1466 
102900 -922 
103000 -1926 
103100 -2758 
103200 -2054 
103300 -1748 
103400 -1162 
103500 -1090 
103600 -888 
103700 -940 
103800 268 
103900 594 
104000 182 
104100 354 
104200 768 
104300 -72 
104400 -556 
104500 -294 
104600 424 
104700 870 
104800 -1060 
104900 -674 
105000 462 
105100 1154 
105200 1768 
105300 560 
105400 -1050 
105500 -974 
105600 -536 
105700 -60 
105800 232 
105900 546 
106000 -36 
106100 -386 
106200 274 
106300 348 
106400 366 
106500 508 
106600 -604 
106700 -982 
106800 -450 
106900 796 
107000 124 
107100 710 
107200 -394 
107300 -382 
107400 -1050 
107500 -976 
107600 -690 
107700 1088 
107800 1890 
107900 868 
108000 -120 
108100 -1932 
108200 -1332 
108300 -290 
108400 14 
108500 742 
108600 1224 
108700 -1172 
108800 -1886 
108900 -2044 
109000 -1910 
109100 -1302 
109200 -614 
109300 180 
109400 770 
109500 1936 
109600 2368 
109700 538 
109800 -914 
109900 -1850 
110000 -1844 
110100 -926 
110200 82 
110300 1450 
110400 1718 
110500 868 
110600 -918 
110700 -978 
110800 -1448 
110900 -1200 
111000 -734 
111100 -280 
111200 714 
111300 1256 
111400 -730 
111500 -2852 
111600 -1638 
111700 -412 
111800 1234 
111900 1552 
112000 1964 
112100 2532 
112200 2014 
112300 1122 
112400 212 
112500 -818 
112600 -1602 
112700 -580 
112800 1616 
112900 1988 
113000 2296 
113100 780 
113200 -388 
113300 -1456 
113400 -2182 
113500 -2132 
113600 646 
113700 1978 
113800 1996 
113900 2186 
114000 1528 
114100 772 
114200 -200 
114300 -494 
114400 -1022 
114500 606 
114600 1218 
114700 594 
114800 -408 
114900 -686 
115000 -254 
115100 -594 
115200 -512 
115300 922 
115400 1584 
115500 582 
115600 -1192 
115700 -1970 
115800 -2246 
115900 -1530 
116000 -1130 
116100 -532 
116200 4 
116300 1000 
116400 726 
116500 76 
116600 386 
116700 452 
116800 -702 
116900 -1426 
117000 -700 
117100 730 
117200 1570 
117300 1498 
117400 -126 
117500 -202 
117600 -1168 
117700 -1332 
117800 -594 
117900 580 
118000 2392 
118100 1282 
118200 78 
118300 -2550 
118400 -2528 
118500 -1648 
118600 -256 
118700 138 
118800 1172 
118900 -620 
119000 -502 
119100 0 
119200 -292 
119300 428 
119400 90 
119500 -356 
119600 -998 
119700 -760 
119800 -64 
119900 136 
120000 534 
120100 314 
120200 412 
120300 -682 
120400 -66 
120500 1344 
120600 1476 
120700 -316 
120800 -2246 
120900 -2874 
121000 -1900 
121100 -712 
121200 336 
121300 48 
121400 556 
121500 950 
121600 -552 
121700 -294 
121800 -1060 
121900 -336 
122000 1134 
122100 1448 
122200 -276 
122300 -1798 
122400 -2668 
122500 -2412 
122600 -1848 
122700 -2388 
122800 -746 
122900 702 
123000 772 
123100 214 
123200 414 
123300 454 
123400 -416 
123500 638 
123600 -22 
123700 -616 
123800 242 
123900 326 
124000 -240 
124100 -454 
124200 216 
124300 998 
124400 -1558 
124500 -2116 
124600 -210 
124700 2138 
124800 3188 
124900 2330 
125000 1042 
125100 -708 
125200 -1212 
125300 -2048 
125400 -1322 
125500 2 
125600 390 
125700 874 
125800 794 
125900 672 
126000 -558 
126100 -1242 
126200 -428 
126300 384 
126400 454 
126500 1566 
126600 320 
126700 -636 
126800 -1170 
126900 -2598 
127000 -1946 
127100 -2018 
127200 -168 
127300 2998 
127400 3788 
127500 4034 
127600 4002 
127700 3390 
127800 2276 
127900 1370 
128000 -262 
128100 -1434 
128200 -2300 
128300 -2018 
128400 -612 
128500 -74 
128600 -16 
128700 630 
128800 14 
128900 -500 
129000 -498 
129100 1040 
129200 898 
129300 -1544 
129400 -1488 
129500 -700 
129600 528 
129700 732 
129800 784 
129900 -52 
130000 -274 
130100 -426 
130200 -32 
130300 164 
130400 342 
130500 962 
130600 342 
130700 -534 
130800 -346 
130900 -134 
131000 -424 
131100 -190 
131200 -168 
131300 624 
131400 -2398 
131500 -2686 
131600 -1026 
131700 1054 
131800 2854 
131900 2872 
132000 1090 
132100 -950 
132200 -1386 
132300 -906 
132400 -160 
132500 -268 
132600 216 
132700 670 
132800 966 
132900 172 
133000 -518 
133100 -894 
133200 -762 
133300 256 
133400 590 
133500 1926 
133600 2166 
133700 138 
133800 -1174 
133900 -2512 
134000 -2476 
134100 -2296 
134200 -1232 
134300 -1312 
134400 -656 
134500 134 
134600 1264 
134700 1236 
134800 820 
134900 -24 
135000 -704 
135100 -1776 
135200 -1638 
135300 -226 
135400 1432 
135500 2432 
135600 1506 
135700 72 
135800 -752 
135900 -1068 
136000 -564 
136100 -464 
136200 -84 
136300 344 
136400 -58 
136500 -198 
136600 -534 
136700 -270 
136800 542 
136900 94 
137000 454 
137100 378 
137200 -1342 
137300 -848 
137400 932 
137500 586 
137600 660 
137700 1296 
137800 1240 
137900 922 
138000 -334 
138100 -748 
138200 -1622 
138300 -572 
138400 -180 
138500 310 
138600 58 
138700 -218 
138800 -374 
138900 1226 
139000 208 
139100 -2006 
139200 -2886 
139300 -1536 
139400 -876 
139500 354 
139600 1566 
139700 2112 
139800 1054 
139900 -42 
140000 -968 
140100 -1394 
140200 -1934 
140300 -1458 
140400 680 
140500 1846 
140600 2282 
140700 1912 
140800 934 
140900 50 
141000 -698 
141100 -760 
141200 -512 
141300 -804 
141400 -1728 
141500 -472 
141600 804 
141700 2080 
141800 1508 
141900 992 
142000 552 
142100 -292 
142200 -1532 
142300 -1074 
142400 -902 
142500 -642 
142600 516 
142700 1166 
142800 122 
142900 -272 
143000 -850 
143100 -1312 
143200 -402 
143300 988 
143400 1892 
143500 1762 
143600 692 
143700 -846 
143800 -1810 
143900 -2430 
144000 -766 
144100 1706 
144200 2204 
144300 1196 
144400 490 
144500 -672 
144600 -330 
144700 -60 
144800 -626 
144900 -134 
145000 1222 
145100 360 
145200 -428 
145300 -928 
145400 -392 
145500 204 
145600 372 
145700 852 
145800 -506 
145900 -1634 
146000 -716 
146100 808 
146200 1634 
146300 1076 
146400 -1190 
146500 -1596 
146600 -1834 
146700 -1934 
146800 -1892 
146900 -1506 
147000 -1106 
147100 -722 
147200 648 
147300 1956 
147400 824 
147500 -608 
147600 -918 
147700 -1824 
147800 -178 
147900 472 
148000 428 
148100 914 
148200 114 
148300 -420 
148400 -972 
148500 -1118 
148600 462 
148700 900 
148800 564 
148900 1116 
149000 810 
149100 -310 
149200 -696 
149300 -1274 
149400 -360 
149500 992 
149600 1186 
149700 386 
149800 -40 
149900 -186 
150000 38 
150100 208 
150200 930 
150300 -304 
150400 -2456 
150500 -1112 
150600 862 
150700 2644 
150800 2994 
150900 1626 
151000 280 
151100 -1106 
151200 -2462 
151300 -2002 
151400 -934 
151500 738 
151600 1560 
151700 978 
151800 762 
151900 1010 
152000 500 
152100 822 
152200 136 
152300 62 
152400 -808 
152500 -752 
152600 382 
152700 782 
152800 -534 
152900 -1376 
153000 -1120 
153100 466 
153200 758 
153300 810 
153400 614 
153500 336 
153600 -360 
153700 -1114 
153800 -918 
153900 -62 
154000 -108 
154100 868 
154200 374 
154300 -1732 
154400 -2416 
154500 -1848 
154600 -1174 
154700 -142 
154800 1072 
154900 1606 
155000 962 
155100 -1022 
155200 -1036 
155300 -1334 
155400 -812 
155500 -30 
155600 -292 
155700 -662 
155800 -318 
155900 1128 
156000 1580 
156100 1890 
156200 796 
156300 -590 
156400 -2476 
156500 -2158 
156600 -1218 
156700 -246 
156800 592 
156900 1356 
157000 1458 
157100 -186 
157200 -922 
157300 -1244 
157400 -1946 
157500 -1350 
157600 -324 
157700 -164 
157800 244 
157900 772 
158000 1150 
158100 -126 
158200 -2240 
158300 -2094 
158400 -628 
158500 -400 
158600 660 
158700 2548 
158800 -822 
158900 -3390 
159000 -4706 
159100 -3892 
159200 -3176 
159300 -2732 
159400 -2090 
159500 -1330 
159600 -598 
159700 574 
159800 926 
159900 1390 
160000 358 
160100 -800 
160200 -838 
160300 -876 
160400 -950 
160500 -1288 
160600 1018 
160700 1676 
160800 914 
160900 1610 
161000 1046 
161100 644 
161200 -1460 
161300 -1808 
161400 -1138 
161500 -100 
161600 406 
161700 1068 
161800 1144 
161900 88 
162000 -1890 
162100 -1650 
162200 -1408 
162300 -70 
162400 474 
162500 924 
162600 1340 
162700 278 
162800 38 
162900 -612 
163000 -84 
163100 92 
163200 130 
163300 -280 
163400 132 
163500 976 
163600 -2624 
163700 -3134 
163800 -1006 
163900 1928 
164000 3366 
164100 3728 
164200 3258 
164300 2630 
164400 1736 
164500 -218 
164600 -442 
164700 -1578 
164800 -1036 
164900 -220 
165000 166 
165100 1350 
165200 -800 
165300 -3324 
165400 -2584 
165500 -1702 
165600 -480 
165700 1040 
165800 2462 
165900 1252 
166000 6 
166100 -966 
166200 -2362 
166300 -1388 
166400 -1312 
166500 -16 
166600 346 
166700 250 
166800 608 
166900 396 
167000 402 
167100 802 
167200 -14 
167300 320 
167400 -54 
167500 -514 
167600 -248 
167700 -394 
167800 1064 
167900 1468 
168000 1050 
168100 -648 
168200 -568 
168300 -1680 
168400 -1200 
168500 592 
168600 1270 
168700 1540 
168800 1478 
168900 1416 
169000 1070 
169100 940 
169200 -192 
169300 -1172 
169400 -1264 
169500 -818 
169600 -614 
169700 -408 
169800 490 
169900 -734 
170000 212 
170100 1366 
170200 1962 
170300 788 
170400 -940 
170500 -1192 
170600 -2204 
170700 -2188 
170800 -794 
170900 524 
171000 2104 
171100 1460 
171200 734 
171300 -1202 
171400 -1946 
171500 -1948 
171600 -662 
171700 -586 
171800 -902 
171900 28 
172000 782 
172100 1166 
172200 476 
172300 50 
172400 -1272 
172500 -458 
172600 190 
172700 -386 
172800 -274 
172900 1036 
173000 728 
173100 112 
173200 -868 
173300 -1338 
173400 -446 
173500 114 
173600 1816 
173700 1224 
173800 738 
173900 -1494 
174000 -1792 
174100 -1756 
174200 -2432 
174300 -2114 
174400 132 
174500 870 
174600 1788 
174700 2442 
174800 1366 
174900 180 
175000 332 
175100 -164 
175200 -112 
175300 -824 
175400 -974 
175500 290 
175600 1656 
175700 2948 
175800 1110 
175900 -1040 
176000 -3256 
176100 -2640 
176200 -2682 
176300 -1970 
176400 -1882 
176500 -1808 
176600 -360 
176700 46 
176800 1444 
176900 1992 
177000 1238 
177100 -386 
177200 -1414 
177300 -2400 
177400 -1948 
177500 -2034 
177600 -1212 
177700 704 
177800 1298 
177900 2812 
178000 2262 
178100 2292 
178200 466 
178300 -226 
178400 -428 
178500 -574 
178600 -1004 
178700 -92 
178800 1806 
178900 1982 
179000 872 
179100 -722 
179200 -810 
179300 -1648 
179400 -1056 
179500 -522 
179600 282 
179700 608 
179800 -20 
179900 622 
180000 1830 
180100 -6 
180200 -1360 
180300 -1640 
180400 -1954 
180500 -1706 
180600 -342 
180700 46 
180800 1226 
180900 800 
181000 706 
181100 -242 
181200 -10 
181300 170 
181400 -94 
181500 112 
181600 -350 
181700 -1630 
181800 1902 
181900 3180 
182000 1858 
182100 324 
182200 -1534 
182300 -2816 
182400 -3388 
182500 -3762 
182600 -3874 
182700 -2088 
182800 -1286 
182900 264 
183000 1390 
183100 1540 
183200 2578 
183300 2532 
183400 1840 
183500 -312 
183600 -1716 
183700 -1966 
183800 -1820 
183900 -1198 
184000 -626 
184100 -40 
184200 260 
184300 1212 
184400 12 
184500 -1258 
184600 -1084 
184700 -1260 
184800 124 
184900 1470 
185000 2260 
185100 1812 
185200 1568 
185300 926 
185400 -448 
185500 -1770 
185600 -816 
185700 -382 
185800 -110 
185900 222 
186000 320 
186100 498 
186200 -870 
186300 -64 
186400 798 
186500 750 
186600 -832 
186700 -906 
186800 -618 
186900 238 
187000 992 
187100 164 
187200 -140 
187300 -182 
187400 674 
187500 1590 
187600 -658 
187700 -2366 
187800 -2594 
187900 -1646 
188000 -1090 
188100 -1134 
188200 238 
188300 1240 
188400 1108 
188500 2020 
188600 1492 
188700 1080 
188800 -572 
188900 -2616 
189000 -2088 
189100 -1696 
189200 606 
189300 1548 
189400 2360 
189500 2206 
189600 1472 
189700 600 
189800 636 
189900 -678 
190000 -1028 
190100 82 
190200 -58 
190300 310 
190400 2 
190500 -280 
190600 812 
190700 662 
190800 -924 
190900 -1672 
191000 -1200 
191100 1008 
191200 1066 
191300 1804 
191400 1430 
191500 1118 
191600 372 
191700 768 
191800 306 
191900 -106 
192000 208 
192100 -232 
192200 72 
192300 -590 
192400 746 
192500 -468 
192600 -702 
192700 658 
192800 1372 
192900 356 
193000 -154 
193100 -1206 
193200 -406 
193300 910 
193400 1138 
193500 1078 
193600 -132 
193700 -1206 
193800 -1350 
193900 -1344 
194000 -110 
194100 652 
194200 1098 
194300 -1650 
194400 -2514 
194500 -1160 
194600 1314 
194700 3338 
194800 3952 
194900 3196 
195000 1342 
195100 20 
195200 -774 
195300 -1784 
195400 -1440 
195500 -2024 
195600 -1694 
195700 -1862 
195800 -1596 
195900 -930 
196000 1036 
196100 2038 
196200 2146 
196300 1736 
196400 -738 
196500 -476 
196600 -1880 
196700 -2468 
196800 -712 
196900 1044 
197000 2476 
197100 1708 
197200 578 
197300 -296 
197400 -792 
197500 -1658 
197600 -1694 
197700 -616 
197800 710 
197900 1714 
198000 1860 
198100 864 
198200 -340 
198300 -1740 
198400 -2042 
198500 -292 
198600 752 
198700 1622 
198800 1444 
198900 1144 
199000 314 
199100 -478 
199200 -1834 
199300 -942 
199400 1336 
199500 2752 
199600 2366 
199700 904 
199800 -298 
199900 -414 
200000 -1272 
200100 -1400 
200200 -976 
200300 238 
200400 290 
200500 868 
200600 1072 
200700 650 
200800 -412 
200900 -1064 
201000 -1114 
201100 -322 
201200 384 
201300 556 
201400 930 
201500 208 
201600 -130 
201700 -330 
201800 -482 
201900 1258 
202000 1176 
202100 410 
202200 910 
202300 200 
202400 -1352 
